State (Emission order)	H3K27ac	H3K4me1	H3K4me3	H3K27me3	H3K9me3
1	0.3675995440323088	0.7409300257364777	0.03296801641273404	0.03347826476789059	0.8919746222505384
2	1.1531168472437571E-5	3.6582066710793545E-4	6.226170135887602E-6	0.002358636190980624	0.7173501086612977
3	9.781271314376289E-5	0.006853946393457681	4.0921926620701604E-60	0.8619486354715462	0.7761617701079278
4	4.083111587383463E-116	9.328535901895312E-4	7.098959021201484E-165	0.006464820145662261	0.005833253250571183
5	3.358220595069786E-6	5.123029352219971E-4	1.2438446879804498E-227	0.7881902429182087	0.004382068515669819
6	0.019274518461513113	0.9120970950764024	3.3739768214632523E-125	0.9103797686348263	0.07579271290058288
7	0.08027835820191989	0.9970265900935987	1.0	0.9810867457982496	0.12752546053017594
8	0.007416724962472989	0.2558887310458403	1.0	0.8630490329619903	0.06499018874943295
9	2.758895238700986E-75	0.14743140582012282	0.9999878740067855	0.012063582492501768	0.013289946469054535
10	3.399406144842082E-75	0.9915153330354256	1.0	0.016179615150137428	0.0023862996118269764
11	1.0	0.9961769729505584	1.0	0.005633699431976547	0.004677111159244177
12	1.0	0.1661301979419605	1.0	0.005375559490327132	0.0029785693771946617
13	0.9925461169708817	0.021640390700016512	1.4062743486560173E-29	0.0014945673912222734	0.0019397304981116142
14	0.9999978725973531	0.9859866869871343	1.5353885517573563E-132	0.002824833281930148	0.0027362732090022773
15	3.0603362502839247E-142	0.9075541154286922	7.039337874202727E-173	0.004925147503244047	0.0029487699715244854
